nombre_show,tipo_show,precio,duracion,local,nota_atrapalo,numero_opiniones,tipo_local,valoracion_google,numero_reseñas_google,coordenadas
El Unipersonal de Luciano Mellera,show,20.0,60.0,Teatro EDP Gran Vía,,,teatro,4.2,9571.0,"(40.4683282, -3.8707172)"
Momi Giardina - Cualquier cosa te llamamos,show,20.0,60.0,Pequeño Teatro Gran Vía de Madrid,,,teatro,4.5,1975.0,"(40.4683282, -3.8707172)"
Racional - Pablo Molinari en Madrid,show,20.0,90.0,Cinesa Fuencarral,,,cine,4.2,6918.0,"(40.4315549, -3.7029393365099326)"
Miki Dkai: Personal Trainer,show,12.0,70.0,Teatro Arlequín Gran Vía,0.8,1.0,teatro,4.2,5264.0,"(40.4211706, -3.7082023)"
Nacho García en El Golfo Comedy Club,show,11.0,70.0,El Golfo Comedy Club,9.6,6.0,club de comedia,4.7,1082.0,"(40.41328525, -3.6964122018327306)"
Gente bien,show,10.0,60.0,Teatro de las Aguas,8.2,5.0,teatro,4.2,1848.0,"(40.410900600000005, -3.712216945685541)"
Alex Clavero y Karim - Noche de Monólogos,show,15.0,70.0,Beer Station,10.0,2.0,bar,4.4,3382.0,"(40.4197052, -3.7085243)"
Lo positivo de fracasar en el amor,show,11.2,60.0,Teatro Lara,,,teatro,4.4,11024.0,"(40.4221297, -3.7043663)"
Transplantar,show,11.2,60.0,Teatro Lara,,,teatro,4.4,11024.0,"(40.4221297, -3.7043663)"
Mi gran noche griega. Dzimis Tsapas. The Greek Dzinious,show,12.0,60.0,Teatro de las Aguas,,,teatro,4.2,1848.0,"(40.410900600000005, -3.712216945685541)"
¡Por fin solo!,show,16.0,90.0,Teatro Reina Victoria,,,teatro,4.3,5892.0,"(40.4165342, -3.699792)"
El cómico faltoso. Carlos Moreno,show,10.0,60.0,Teatro de las Aguas,,,teatro,4.2,1848.0,"(40.410900600000005, -3.712216945685541)"
Curreles,show,10.0,70.0,Teatro de las Aguas,,,teatro,4.2,1848.0,"(40.410900600000005, -3.712216945685541)"
Asco y Pena en directo- Un Podcast de Nacho García y Miguel Iríbar,podcast,12.0,70.0,El Golfo Comedy Club,,,club de comedia,4.7,1082.0,"(40.41328525, -3.6964122018327306)"
Fran Pati y Mikel Bermejo - MVPs,show,11.0,70.0,El Golfo Comedy Club,,,club de comedia,4.7,1082.0,"(40.41328525, -3.6964122018327306)"
Carmen Fresca - Un espectáculo de Carmen Alcayde,show,11.0,70.0,Beer Station,8.8,2.0,bar,4.4,3382.0,"(40.4197052, -3.7085243)"
Bhonny Lorenzo presenta Bonifacetico,show,12.0,70.0,El Golfo Comedy Club,10.0,6.0,club de comedia,4.7,1082.0,"(40.41328525, -3.6964122018327306)"
Isabel Rey.- Diva de Barrio,show,11.0,70.0,El Golfo Comedy Club,,,club de comedia,4.7,1082.0,"(40.41328525, -3.6964122018327306)"
Taka Gómez - Plátano,show,10.0,60.0,Beer Station,,,bar,4.4,3382.0,"(40.4197052, -3.7085243)"
Tabú,show,7.5,70.0,Bala Perdida Club (Hotel Axel Madrid),10.0,8.0,hotel,4.4,1872.0,"(40.413134, -3.7005625)"
Pilar de Francisco y Borja Sumozas. ¡Por fin juntos!,show,12.0,70.0,El Golfo Comedy Club,9.2,9.0,club de comedia,4.7,1082.0,"(40.41328525, -3.6964122018327306)"
Patxi Zubeldia.-  Bestia Parda,show,12.0,70.0,El Golfo Comedy Club,10.0,1.0,club de comedia,4.7,1082.0,"(40.41328525, -3.6964122018327306)"
Alberto Graupera.- No le busques sentido,show,12.0,70.0,El Golfo Comedy Club,10.0,1.0,club de comedia,4.7,1082.0,"(40.41328525, -3.6964122018327306)"
El Ahorcado Open Mic,open_mic,9.0,90.0,El Golfo Comedy Club,10.0,1.0,club de comedia,4.7,1082.0,"(40.41328525, -3.6964122018327306)"
Juan Moreno - Infame,show,11.0,70.0,El Golfo Comedy Club,9.8,4.0,club de comedia,4.7,1082.0,"(40.41328525, -3.6964122018327306)"
Estoy bien. Esther Gimeno,show,12.0,70.0,El Golfo Comedy Club,8.7,6.0,club de comedia,4.7,1082.0,"(40.41328525, -3.6964122018327306)"
Borja Manjón. Poca cosa.,show,12.0,70.0,El Golfo Comedy Club,9.8,5.0,club de comedia,4.7,1082.0,"(40.41328525, -3.6964122018327306)"
Nico Lozano. Borderline Golfo Edition.,show,12.0,70.0,El Golfo Comedy Club,,,club de comedia,4.7,1082.0,"(40.41328525, -3.6964122018327306)"
No me puedo quejar,show,7.5,80.0,Bala Perdida Club (Hotel Axel Madrid),,,hotel,4.4,1872.0,"(40.413134, -3.7005625)"
Quique Matilla - Vastante vien,show,12.0,75.0,Beer Station,10.0,1.0,bar,4.4,3382.0,"(40.4197052, -3.7085243)"
"Nayra Pérez presenta Por mí, ya estaría",show,11.0,60.0,Beer Station,10.0,7.0,bar,4.4,3382.0,"(40.4197052, -3.7085243)"
100% Risas y Humor - Mancheguito,show,10.0,60.0,Estación Malasaña,9.9,91.0,bar,4.5,344.0,"(40.4236731, -3.7051859)"
Summertime,show,10.5,80.0,OFF LATINA,9.6,2.0,teatro,4.5,1774.0,"(40.4120586, -3.7119024)"
Ganso: un show de Edu J,show,10.0,70.0,El Sombrerero Comedy Club,10.0,6.0,club de comedia,4.5,4.0,"(40.4317969, -3.7008063)"
Menuda Pájara - Carmen Alcayde,show,8.0,60.0,Estación Malasaña,,,bar,4.5,344.0,"(40.4236731, -3.7051859)"
Funny hour open mic,open_mic,3.0,70.0,Cafetería Valverde,10.0,7.0,,,,
"Manu ""El Gamba"" en Platea",show,10.0,80.0,Platea Café Teatro,,,teatro,4.6,361.0,"(40.3493214, -3.5414559)"
Traficante de Risas - Boira Sigue Vivo!!!,show,8.0,60.0,Clandestino Café Teatro,,,teatro,4.4,119.0,"(40.419694, -3.7025472)"
